Title,Artist
Shirshak,Karan Bhatta
Aaudai Jaadai (Timro Nyano),The Uglyz
Din,Anuprastha
Gauthali,Pahenlo Batti Muni
Prayas,Samriddhi Rai
Timi Ra Ma,Pariwartan
Khai,Bartika Eam Rai
Hami Sangai Ta Chau Ni,Mc Flo
Raat Bityo,Nabin K Bhattarai
Bimbaakash,Bartika Eam Rai
Oh Maicha,Brijesh Shrestha
Sadhai Sadhai,Mantra Band
Yo Dil Mero,The Edge Band
Hindda Hinddai,Adrian Pradhan
Afulai,Angu Bhutia
Nidari (Ko Nimti),Bartika Eam Rai
Nasamjha,Adrian Pradhan
Kati Baschau Maiti Kai..,Diwas Gurung
Kaile Vetne Khai 2 (Nyasro),Almoda Rana Uprety
"Maya Pirati (From""Kabaddi Kabaddi Kabaddi"")",Kali Prasad Baskota
Insta Ko Photo,Kali Prasad Baskota
Teenpatey,ArtMandu
K Yo Maya Ho,B-8eight
Sirful 2,Ekdev Limbu
Sunyata,Tribal Rain
Deorali Darah,Bipul Chettri
Rail Lai Ma,Trishna Gurung
Satayera,GXSOUL
Timro Lagi,Monkey Temple Nepal
Jaba Timi Aayeu,Sabin Rai
Rukum Maikot,Kendra Motion Pictures
Katha: Episode III - Marijau,Sajjan Raj Vaidya
Pheri Tyo Din,Sugam Pokharel
Timiley,Samir Shrestha
Hamro Geet,Uges Limbu
Ekantama,Mantra Band
Dhurwa Tara,Purna Rai
Jali Rumal mai,Trishna Gurung
Syndicate,Bipul Chettri
Batash,Shashwot Khadka
Chari Basyo,Kali Prasad Baskota
Nacha Firiri,Mahesh Kafle
Aankha Maa Aaune Sapani,Ekdev Limbu
Aakhale,Yabesh Thapa
Goreto,satish
Suna Kaanchi,Sajjan Raj Vaidya
Mann Ka Bhawana,Apurva Tamang
Mero Manaiko Phool Tipi,Pyne
Kanchi Hey Kanchi,Brijesh Shrestha
Jyanle Timlai,Almoda Rana Uprety
Sirfula Siraima,Nepathya
Upahar,The Elements
Maya Bhanchan,The Elements
Maya Birani,Mahesh Kafle
"Suna Suna Sundari (From ""Nango Gaun"")",SD Yogi
KESHARI (Kabbadi 4- The Final Match),Baasuri Films
Seti Dobana,Devendra Bablu
Paribhasa,Purna Rai
Maya Ko Tira Official,AshToast
Sirupate Jungama,Babul Giri
Suna Meri Maya,Sk Khannal
Lajjawati Jhar,Mahesh Kafle
Ghumna Jau Engine Gadima,S.D. Yogi
Timi Samu (Dreams),Rodit Bhandari
Maya,Ayush Gauchan
Lai Bari Lai,Vek
Udayo Hawale Reprised Version,Hercules Basnet
Phone Ko No. ?,Sushant KC
La La La La,Bluesss
Aa Hai,Ekdev Limbu
Hasirakhana,Brijesh Shrestha
Pari - Love Story Part 1,Neetesh Jung Kunwar
Chiya Ko Botma (K Yo Maya Ho) - Alternative Version,Arjun Katuwal
Gurasai Phulyo,Trishna Gurung
Baimani,Sushant KC
Muskan,Axix
Nischal,Albatross
Hukka Mero,Karma Band
Kaha Hola Ghar,Karma Band
Yani Maya,Karma Band
Mayalu,Adrian Pradhan
Samjhi Baschu,1974 A.D
Mayalule Mayalule,1974 A.D
Sanskriti,Mantra
Jiwan Hamro,Mantra
Aakash,Mantra
Aatma,Aastha
Sapana,Mantra Band
Timi Bina,Mantra Band
Nahera Malai,Mukti & Revival
Mercedes Benz,Cobweb
Timro Maya,Cobweb
Maryo Ni Maryo Ni,Cobweb
Bir Gorkhali,Mantra Band
Jiven Mero,The Edge
Roka Yo Samay,Tribal Rain
Gahiro Gahiro,Bipul Chettri
Mero Prem,Axix
Chaubandi Cholo,Mukti & Revival
Aaudai Jaadai,The Uglyz
Umer,Bartika Eam Rai
Thaha Chaina,The Edge Band
Pari,Mantra Band
Timro Khushi,The Root-Less
Jaba Timi Aayo,Sabin Rai
Maya,The Uglyz
Jomsome Bazarma,Nepathya
Wildfire (Dadhelo),Bipul Chettri
Mann,Bipul Chettri
Paisa,Sabin Rai & The Pharaoh
Asha Nirasha,Albatross
Aparichit,The Elements
Mero Ansu,The Edge
Nachaheko Hoina Timilai,The Edge
Timra Dui Aankhama,Rohit John Chettri
Siriri,Bipul Chettri
Bhool,Albatross
Sambodhan,1974 A.D
Yeuta Manchheko,Narayan Gopal
Awaz,Albatross
Gari Khana Deu,Albatross
Nepali Ko Rela,Gauley Bhai
Gari Khana Deu II,Albatross
Manav Nai Danav,Albatross
Adhar,Albatross
Ajhai,The Uglyz
Maa,Albatross
Koshish,Albatross
Ma,The Shadows 'Nepal'
Prakriti,The Shadows 'Nepal'
Mercedes Benz Live On KMN,Cobweb
Hidne Maanche Ladcha,The Shadows 'Nepal'
Buddha Nepalko,The Shadows 'Nepal'
Jhhari ko Raat,Albatross
Jogale Huncha Bhet,Nepathya
Samjhera Malai,Anuprastha
Abhimaan,Albatross
Mutu Bhari,1974 A.D
Ek Choti,Axix
Pagal Navan Malai,The Edge
Bachau,Albatross
Samjheyra,The Edge Band
Sadhai Bhari,The Uglyz
Kehi Mitho Batagara,Narayan Gopal
Timro Yaad,The Edge Band
Mounbrata,The Shadows 'Nepal'
Sagar,Albatross
Yo Jindagani,Amrit Gurung
Traditional Swang,Tribal Rain
Afnai Sansar Ma Kina,Albatross
Pahilo Junima,1974 A.D
Samjhi Baschhu,1974 A.D
Pralaya 'A',Dibesh Pokharel
Nyano Ghar,Dibesh Pokharel
Have You Ever Seen the Rain? - Performance Version,Arthur Gunn
Hamro Din,Dibesh Pokharel
Ma,Arthur Gunn
Chill,Arthur Gunn
Pralaya 'B',Dibesh Pokharel
Chhudaina Timro Mayale,1974 A.D
Yaad Haru,Dibya Subba
Timro Lagi Ma,Sabin Rai
Shristi ra Dristi,Albatross
Sacred,Albatross
Jeevan Katha Bho,Cobweb
Ma Maya Laudina,Mongolian Heart
Kaha Janchau,Albatross
Hunude Je Hunuchha,Tribal Rain
Kalo,Tribal Rain
Saathi (Saath Dinchu),The Uglyz
Jau Na Aau,The Uglyz
Aau Mere Mayalu,The Edge
Gantabya,The Edge Band
Birsu Bhanchu,The Edge Band
Kheladi,The Shadows 'Nepal'
K Pais Nepali Kera,The Shadows 'Nepal'
Naya Nepal ( नयाँ नेपाल ),The Shadows 'Nepal'
Jeth 19,The Shadows 'Nepal'
Bhatkeko Kotha,The Shadows 'Nepal'
Saayad,The Shadows 'Nepal'
Maryo Piratile,Nepathya
Resham,Amrit Gurung
Planet Nepal,Kutumba
Chhabi (Image),Kutumba
Gajalu Teeka,Mongolian Heart
Hidchu Sadhai,Cobweb
Samaj,Cobweb
K Tero K Mero,Cobweb
Timro Nau,Cobweb
Adutiya,Anuprastha
Kanchhi,Anuprastha
Sukha Ra Dukha,Anuprastha
Maaya,Anuprastha
Sanjhako Bela,1974 A.D
Saani Ko,1974 A.D
